"","x"
"M_",34.182435743308
"M13167",19.3644804562116
"M19471",47.9391122225672
"M25188",42.9074581010309
"M30717",78.0330560862969
"M31431",87.9885831856239
"M16702",20.0144029879314
"M9193",41.792470401979
"M6945",23.2742816543774
"M7778",49.9356697356645
"M6946",15.6691388583256
"M6947",29.5135433322892
"M15699",20.2190958435141
"M24191",44.4802970462683
"M18372",37.1362367866045
"M4666",17.2692488704423
"M13292",34.8263638025686
"M5999",17.8804446265386
"M7035",18.440341853731
"M10505",18.7603407408112
"M8992",50.5006993127794
"M1878",8.94777834718387
"M9408",43.9413352180927
"M8427",34.798097649563
"M8667",22.3763748860321
"M11197",12.036043015553
"M1879",17.8981266005285
"M11734",29.8730521915199
"M15986",32.545371285024
"M17215",62.7282584219631
"M32877",102.917991061806
"M13168",27.2754718360622
"M35313",178.149653103889
"M10730",44.1308201411893
"M33713",38.1418180051632
"M9315",32.9921107863886
"M14692",39.6242074449979
"M8993",25.8987897609328
"M10506",25.7691611635932
"M1880",17.2202958357106
"M7879",46.7353241707515
"M15700",35.7779440446273
"M31663",78.7839411135677
"M16818",9.95573332555008
"M7233",45.4529798558715
"M23698",48.6981154134751
"M16228",91.8865268326739
"M41371",324.322655985032
"M14799",69.5643739471271
"M9194",21.4568272091106
"M38746",122.165528125025
"M8994",59.953123720675
"M15823",41.9442568532776
"M27093",58.4818018052121
"M23433",62.7490587162493
"M8292",11.584698798689
"M21242",80.1929230362835
"M21527",66.4081666033367
"M14924",86.6485952225204
"M35972",83.7763322911673
"M6950",12.1841130752274
"M18801",102.875269127935
"M16579",19.0434016180358
"M10731",51.6424578651343
"M20333",17.956638822765
"M27846",32.3473119337001
"M41788",109.591419478025
"M28309",72.1330623529559
"M40993",145.699624238172
"M23434",48.6943898726366
"M11513",17.3562507590071
"M24925",70.0360040742927
"M16819",14.0361535636742
"M20993",72.4364174267945
"M23699",73.4531669620572
"M14800",21.0164246425054
"M17609",63.5167558559563
"M35973",146.904251860007
"M21093",52.1382744726499
"M6307",9.58000309954088
"M29372",24.7196815501978
"M35014",75.0849280642923
"M18128",17.1809514404751
"M12460",27.9735160601396
"M19951",77.9916814177938
"M15284",27.4734998437551
"M23435",44.3642821884773
"M6204",13.5007929547721
"M23436",46.1052971643733
"M14227",45.404153776069
"M23701",38.7640697144942
"M23702",34.914662832656
"M2516",10.4774216307625
"M19658",46.2571847165067
"M33431",73.5265838100536
"M13384",13.5200848473632
"M26827",54.5258466760759
"M30472",77.6399898065244
"M28451",99.2537833024087
"M19325",44.3055018717756
"M28706",90.7275616253639
"M14801",24.387148157258
"M1604",21.0488073275307
"M26363",84.4717964771221
"M8084",10.1676969469729
"M23437",36.3213070129663
"M10033",18.1271406639496
"M23438",44.776821867231
"M5218",26.9960737526892
"M23439",59.7821242135267
"M42661",200.903047355275
"M10403",20.6845045927623
"M12055",13.8359431822024
"M19473",32.6741785716842
"M31206",45.0225591292063
"M8183",19.476122781377
"M10644",33.0668297402865
"M13075",10.07371820766
"M17071",21.6138772808467
"M23440",43.8122343607358
"M23441",29.2232998523871
"M23442",50.3723170816453
"M23443",47.2032470797855
"M34341",101.706711227913
"M36470",124.098516027338
"M27406",68.5963892425937
"M555",10.035797888035
"M23292",33.0011645368984
"M13293",25.4237265393235
"M26939",56.8775686939266
"M3700",31.5524403269206
"M42861",191.628548096439
"M18523",31.787250254647
"M14693",76.9985051702597
"M34815",79.0321316588146
"M14802",9.65212707959419
"M19037",61.5031479593047
"M29523",59.679517404698
"M5747",24.6397684850238
"M22075",60.4691783435069
"M22888",48.5578963690127
"M15824",27.4710245454212
"M21528",56.343669776015
"M28816",70.4521760351449
"M8995",16.7267276677303
"M1746",12.4856354225915
"M2668",19.3564846124912
"M10270",11.3357534686481
"M10271",19.6109939992787
"M29373",38.4379877982825
"M26940",76.329344683858
"M25446",59.5858092475569
"M8996",53.0862578312468
"M8997",24.3030618232145
"M23576",29.7364713220736
"M979",18.1669297250321
"M8998",50.0938528257935
"M35015",98.1162583234332
"M8999",40.4609650091557
"M12056",48.2539284646354
"M1747",20.2444675626805
"M19659",43.1103892487976
"M34342",111.816387983829
"M21529",121.159233711336
"M4217",27.748332485415
"M24809",42.9316212650326
"M27726",38.109297033878
"M31207",67.0574293840161
"M17216",15.0770226060088
"M190",18.512366704417
"M25447",53.7800919198367
"M27407",48.1809564576998
"M20208",37.2317392617857
"M11937",45.3338091778698
"M29641",27.1348020379383
"M28452",73.6065791646215
"M6000",32.7369136343362
"M21094",17.0764519226053
"M23577",64.5899680650621
"M20834",37.4006462267853
"M30473",82.4195173453522
"M34098",135.405998199047
"M10272",13.9242095520643
"M29269",59.5249099615928
"M4741",72.9079655708343
"M13994",47.7884030520169
"M27235",23.0690567788135
"M28817",53.4081396197747
"M40871",221.520177653145
"M31208",49.6870199862614
"M36704",120.779123968393
"M27408",64.1216775120068
"M15407",14.0930682700353
"M5462",34.6058606920206
"M5463",67.7060326512179
"M6002",50.947194892179
"M4742",30.3650569757155
"M11304",10.6304660803431
"M42472",170.451999280077
"M3782",16.6655989256391
"M23444",76.7554918045578
"M12057",90.4181358970818
"M23445",28.5573141164957
"M33216",111.010941838897
"M28818",65.3154668481157
"M33217",143.857183617365
"M31209",44.5083967938035
"M4743",56.2552555552794
"M39895",78.1611427375554
"M5464",15.477072145112
"M35695",131.919561237716
"M2201",11.3763792338123
"M16464",18.6397108624854
"M31432",60.2702649978849
"M1559",21.8217376304396
"M9522",20.347517760345
"M17611",78.4545829288638
"M33433",113.844117405455
"M15285",65.7808496404273
"M30718",112.191899355895
"M14470",33.9189530148272
"M6003",26.2367011484249
"M35457",95.0366778085762
"M11821",16.8729821189996
"M3640",17.1323472916823
"M4667",16.1568781671654
"M16956",74.6549615164189
"M30474",72.18623653188
"M40668",143.759280551154
"M41461",138.400016204386
"M13513",32.9613305712905
"M17072",31.797733790037
"M13076",23.7740930719222
"M16957",95.391892638535
"M30475",80.3282735305875
"M31210",85.5615423510495
"M25320",22.1293476142716
"M40794",237.955543438046
"M33574",125.963077784501
"M42231",226.14299726003
"M27848",55.1699795151147
"M25321",53.8791489791748
"M14925",10.7509439129028
"M30950",71.9354786313463
"M26127",22.7521299392874
"M15543",16.9894481320762
"M6308",9.8897113092356
"M15173",19.0396817636139
"M15034",59.7179642453925
"M2462",70.2642751247499
"M18646",34.122413878308
"M31433",114.415775972243
"M9819",10.3852377723305
"M22889",99.6569980131177
"M30115",76.3682061107505
"M31775",54.7296761364042
"M9316",37.1643628020379
"M6596",200.025106079871
"M21794",33.3225080310737
"M14803",34.3944391323417
"M14561",23.4293098423415
"M8520",13.8032924765103
"M21916",99.5683340436958
"M83",20.3497518668097
"M1748",16.3037049130381
"M27727",26.3968591966827
"M36471",174.153872848762
"M13385",25.0741945629208
"M3641",26.1653600114237
"M19474",35.0387719345715
"M34606",122.611849350632
"M13077",11.4056500055702
"M20064",67.0550014994848
"M27094",24.4547793272537
"M9409",34.417657985062
"M36071",93.8140765780032
"M12680",22.2292900794759
"M20725",68.6172993028032
"M41881",159.110490377436
"M32723",101.333290363802
"M25322",24.359122614937
"M34343",145.983336665898
"M2285",72.3096626194939
"M2286",81.8385935486036
"M35696",132.272032090771
"M2287",75.5728960255591
"M7342",19.6739480163006
"M9410",24.0067455551459
"M191",100.660829302349
"M24433",65.3732828990747
"M16703",26.6291841579809
"M2288",84.5378457512782
"M17612",83.6573708547254
"M34344",121.546085010869
"M1560",38.8668400908304
"M1561",36.4028747448642
"M1562",20.300802494584
"M22076",78.9843363108632
"M27542",71.0213777306534
"M2289",71.9407166372949
"M2290",80.925904561392
"M6814",11.1765220986371
"M2933",10.7302718460791
"M20835",74.4795768024824
"M9620",17.6977112180164
"M2291",8.47837587844381
"M1563",19.672915527331
"M22077",91.18162076266
"M13620",14.4584789811367
"M2292",41.9368031330361
"M10034",52.5877353371167
