"","CV_QC","CV_Samples"
"M_",34.182435743308,60.4887138066049
"M13167",19.3644804562116,72.6944083599022
"M19471",47.9391122225672,73.0652106856821
"M25188",42.9074581010309,135.170191045352
"M30717",78.0330560862969,102.448877961193
"M31431",87.9885831856239,101.074942603928
"M16702",20.0144029879314,66.6825878435846
"M9193",41.792470401979,56.5865699019714
"M6945",23.2742816543774,59.3848785758699
"M7778",49.9356697356645,58.1103754239792
"M6946",15.6691388583256,62.6049479455716
"M6947",29.5135433322892,75.8409774046873
"M15699",20.2190958435141,72.81763811352
"M24191",44.4802970462683,27.7578146664155
"M18372",37.1362367866045,101.202056026774
"M4666",17.2692488704423,49.8517081524858
"M13292",34.8263638025686,77.2961488226383
"M5999",17.8804446265386,61.1362348929717
"M7035",18.440341853731,77.4623943482138
"M10505",18.7603407408112,55.1923977351305
"M8992",50.5006993127794,45.5066579162272
"M1878",8.94777834718387,53.4872219119064
"M9408",43.9413352180927,65.0483577005471
"M8427",34.798097649563,113.172089299212
"M8667",22.3763748860321,94.6195419557841
"M11197",12.036043015553,67.1112326718582
"M1879",17.8981266005285,81.8102652059392
"M11734",29.8730521915199,65.0044302522607
"M15986",32.545371285024,45.5207655621014
"M17215",62.7282584219631,83.8522594899094
"M32877",102.917991061806,103.138990797316
"M13168",27.2754718360622,122.602642267048
"M35313",178.149653103889,113.89109098033
"M10730",44.1308201411893,90.7725075946871
"M33713",38.1418180051632,59.2296466551418
"M9315",32.9921107863886,62.159386666732
"M14692",39.6242074449979,61.8492621208018
"M8993",25.8987897609328,61.147521903574
"M10506",25.7691611635932,38.0494811285882
"M1880",17.2202958357106,77.877276038252
"M7879",46.7353241707515,77.5270900091299
"M15700",35.7779440446273,48.1188648042678
"M31663",78.7839411135677,91.7583972913952
"M16818",9.95573332555008,256.706472453794
"M7233",45.4529798558715,72.9921785228296
"M23698",48.6981154134751,53.8899567294951
"M16228",91.8865268326739,128.785991591049
"M41371",324.322655985032,364.166834446125
"M14799",69.5643739471271,126.17332948255
"M9194",21.4568272091106,35.5879081058032
"M38746",122.165528125025,242.669773256354
"M8994",59.953123720675,55.1562900915685
"M15823",41.9442568532776,85.2788148335024
"M27093",58.4818018052121,89.5915299532775
"M23433",62.7490587162493,29.6281387070962
"M8292",11.584698798689,54.0044964757948
"M21242",80.1929230362835,85.7695176333545
"M21527",66.4081666033367,97.7432500163684
"M14924",86.6485952225204,111.923191696856
"M35972",83.7763322911673,163.931913442639
"M6950",12.1841130752274,76.1576599136374
"M18801",102.875269127935,117.213519581208
"M16579",19.0434016180358,134.426964389223
"M10731",51.6424578651343,125.412253786381
"M20333",17.956638822765,92.9781167629267
"M27846",32.3473119337001,45.7938284151276
"M41788",109.591419478025,114.224701721473
"M28309",72.1330623529559,128.647500701885
"M40993",145.699624238172,163.434700095902
"M23434",48.6943898726366,59.8228244578726
"M11513",17.3562507590071,57.2785343043519
"M24925",70.0360040742927,57.9789984305127
"M16819",14.0361535636742,174.652247545872
"M20993",72.4364174267945,92.5205562960799
"M23699",73.4531669620572,77.9426636005127
"M14800",21.0164246425054,78.1372490945822
"M17609",63.5167558559563,215.464940993671
"M35973",146.904251860007,86.7169269890228
"M21093",52.1382744726499,158.941444637896
"M6307",9.58000309954088,83.9363637080354
"M29372",24.7196815501978,53.7774531705177
"M35014",75.0849280642923,107.794338761419
"M18128",17.1809514404751,60.1830448520964
"M12460",27.9735160601396,31.7309195694271
"M19951",77.9916814177938,79.3715770848491
"M15284",27.4734998437551,39.9495815095827
"M23435",44.3642821884773,54.1672383684219
"M6204",13.5007929547721,63.2689424986062
"M23436",46.1052971643733,36.114276914495
"M14227",45.404153776069,112.472740473944
"M23701",38.7640697144942,47.6927369057944
"M23702",34.914662832656,66.5564106606724
"M2516",10.4774216307625,57.6119210839423
"M19658",46.2571847165067,62.7260210063027
"M33431",73.5265838100536,68.4392483311857
"M13384",13.5200848473632,53.6563795390609
"M26827",54.5258466760759,151.607389518769
"M30472",77.6399898065244,118.052062663125
"M28451",99.2537833024087,159.987397874613
"M19325",44.3055018717756,80.6951004167399
"M28706",90.7275616253639,107.086223836024
"M14801",24.387148157258,49.1988716092864
"M1604",21.0488073275307,60.1656067574852
"M26363",84.4717964771221,146.945681980482
"M8084",10.1676969469729,73.9431053128006
"M23437",36.3213070129663,70.5032437627804
"M10033",18.1271406639496,64.4910969044691
"M23438",44.776821867231,63.088199187594
"M5218",26.9960737526892,94.3753778778259
