"","V1"
"1",23.5
"2",13.2
"3",11.5
"4",6
"5",5.4
"6",4.8
"7",3.5
"8",2
"9",1.7
"10",1.5
"11",1.4
"12",1.3
"13",1.2
"14",1.1
"15",1
"16",1
"17",0.9
"18",0.8
"19",0.7
"20",0.7
"21",0.6
"22",0.6
"23",0.5
"24",0.5
"25",0.5
"26",0.4
"27",0.4
"28",0.4
"29",0.3
"30",0.3
"31",0.3
"32",0.3
"33",0.3
"34",0.3
"35",0.3
"36",0.3
"37",0.3
"38",0.2
"39",0.2
"40",0.2
"41",0.2
"42",0.2
"43",0.2
"44",0.2
"45",0.2
"46",0.2
"47",0.2
"48",0.2
"49",0.2
"50",0.2
"51",0.2
"52",0.2
"53",0.2
"54",0.2
"55",0.2
"56",0.2
"57",0.2
"58",0.2
"59",0.2
"60",0.2
"61",0.2
"62",0.2
"63",0.2
"64",0.2
"65",0.2
"66",0.2
"67",0.2
"68",0.2
"69",0.2
"70",0.1
"71",0.1
"72",0.1
"73",0.1
"74",0.1
"75",0.1
"76",0.1
"77",0.1
"78",0.1
"79",0.1
"80",0.1
"81",0.1
"82",0.1
"83",0.1
"84",0.1
"85",0.1
"86",0.1
"87",0.1
"88",0.1
"89",0.1
"90",0.1
"91",0.1
"92",0.1
"93",0.1
"94",0.1
"95",0.1
"96",0.1
"97",0.1
"98",0.1
"99",0.1
"100",0.1
"101",0.1
"102",0.1
"103",0.1
"104",0.1
"105",0.1
"106",0.1
"107",0.1
"108",0.1
"109",0.1
"110",0.1
"111",0.1
"112",0.1
"113",0.1
"114",0.1
"115",0.1
"116",0.1
"117",0
"118",0
