id	injection_order	batch	class	technical_rep	biological_rep
x001_Blank_1_norm_RP_short_SWATH_pos	1	1	Blank	1	Blank
x002_Blank_1_norm_RP_short_SWATH_pos	2	1	Blank	1	Blank
x003_Blank_1_norm_RP_short_SWATH_pos	3	1	Blank	1	Blank
x004_QC_norm_equil_01_RP_short_SWATH_pos	4	1	QC	1	QC_equil_1
x005_QC_norm_equil_02_RP_short_SWATH_pos	5	1	QC	2	QC_equil_2
x006_QC_norm_equil_03_RP_short_SWATH_pos	6	1	QC	3	QC_equil_3
x007_QC_norm_equil_04_RP_short_SWATH_pos	7	1	QC	4	QC_equil_4
x008_QC_norm_equil_05_RP_short_SWATH_pos	8	1	QC	5	QC_equil_5
x009_QC_norm_01_RP_short_SWATH_pos	9	1	QC	1	QC
x010_QC_norm_02_RP_short_SWATH_pos	10	1	QC	2	QC
x011_QC_norm_03_RP_short_SWATH_pos	11	1	QC	3	QC
x012_QC_norm_04_RP_short_SWATH_pos	12	1	QC	4	QC
x013_QC_norm_05_RP_short_SWATH_pos	13	1	QC	5	QC
x014_UR_norm_DD_mealC_t07_rtech1_RP_short_SWATH_pos	14	1	DD	1	mealC_t07
x015_UR_norm_MM_mealB_t00_rtech1_RP_short_SWATH_pos	15	1	MM	1	mealB_t00
x016_UR_norm_AA_mealA_t00_rtech1_RP_short_SWATH_pos	16	1	AA	1	mealA_t00
x017_UR_norm_AA_mealC_t01_rtech1_RP_short_SWATH_pos	17	1	AA	1	mealC_t01
x018_UR_norm_DD_mealA_t06_rtech1_RP_short_SWATH_pos	18	1	DD	1	mealA_t06
x019_UR_norm_MM_mealC_t08_rtech1_RP_short_SWATH_pos	19	1	MM	1	mealC_t08
x020_UR_norm_DD_mealA_t01_rtech1_RP_short_SWATH_pos	20	1	DD	1	mealA_t01
x021_UR_norm_AA_mealC_t02_rtech1_RP_short_SWATH_pos	21	1	AA	1	mealC_t02
x022_UR_norm_DD_mealA_t05_rtech1_RP_short_SWATH_pos	22	1	DD	1	mealA_t05
x023_UR_norm_DD_mealC_t00_rtech1_RP_short_SWATH_pos	23	1	DD	1	mealC_t00
x024_QC_norm_06_RP_short_SWATH_pos	24	1	QC	6	QC
x025_QC_norm_07_RP_short_SWATH_pos	25	1	QC	7	QC
x026_UR_norm_MM_mealA_t08_rtech1_RP_short_SWATH_pos	26	1	MM	1	mealA_t08
x027_UR_norm_DD_mealB_t08_rtech1_RP_short_SWATH_pos	27	1	DD	1	mealB_t08
x028_UR_norm_MM_mealA_t01_rtech1_RP_short_SWATH_pos	28	1	MM	1	mealA_t01
x029_UR_norm_AA_mealA_t01_rtech1_RP_short_SWATH_pos	29	1	AA	1	mealA_t01
x030_UR_norm_AA_mealB_t04_rtech1_RP_short_SWATH_pos	30	1	AA	1	mealB_t04
x031_UR_norm_AA_mealB_t03_rtech1_RP_short_SWATH_pos	31	1	AA	1	mealB_t03
x032_UR_norm_DD_mealC_t05_rtech1_RP_short_SWATH_pos	32	1	DD	1	mealC_t05
x033_UR_norm_AA_mealC_t00_rtech1_RP_short_SWATH_pos	33	1	AA	1	mealC_t00
x034_UR_norm_MM_mealB_t07_rtech1_RP_short_SWATH_pos	34	1	MM	1	mealB_t07
x035_UR_norm_MM_mealA_t02_rtech1_RP_short_SWATH_pos	35	1	MM	1	mealA_t02
x036_QC_norm_08_RP_short_SWATH_pos	36	1	QC	8	QC
x037_QC_norm_09_RP_short_SWATH_pos	37	1	QC	9	QC
x038_UR_norm_DD_mealC_t01_rtech1_RP_short_SWATH_pos	38	1	DD	1	mealC_t01
x039_UR_norm_DD_mealA_t00_rtech1_RP_short_SWATH_pos	39	1	DD	1	mealA_t00
x040_UR_norm_DD_mealA_t03_rtech1_RP_short_SWATH_pos	40	1	DD	1	mealA_t03
x041_UR_norm_DD_mealC_t03_rtech1_RP_short_SWATH_pos	41	1	DD	1	mealC_t03
x042_UR_norm_AA_mealA_t04_rtech1_RP_short_SWATH_pos	42	1	AA	1	mealA_t04
x043_UR_norm_AA_mealB_t08_rtech1_RP_short_SWATH_pos	43	1	AA	1	mealB_t08
x044_UR_norm_AA_mealB_t01_rtech1_RP_short_SWATH_pos	44	1	AA	1	mealB_t01
x045_UR_norm_AA_mealB_t05_rtech1_RP_short_SWATH_pos	45	1	AA	1	mealB_t05
x046_UR_norm_MM_mealC_t04_rtech1_RP_short_SWATH_pos	46	1	MM	1	mealC_t04
x047_UR_norm_MM_mealC_t02_rtech1_RP_short_SWATH_pos	47	1	MM	1	mealC_t02
x048_QC_norm_10_RP_short_SWATH_pos	48	1	QC	10	QC
x049_QC_norm_11_RP_short_SWATH_pos	49	1	QC	11	QC
