id	description	injection_order	batch	type	class	subclass	timepoint	biological_rep	technical_rep	column	polarity
x010_BAL_STAND_m02_rep5_pos	x010_BAL_STAND	x010	1	sample	BAL_STAND	STAND		m02	rep5	RP	pos
x011_NOD_STAND_m12_rep5_pos	x011_NOD_STAND	x011	1	sample	NOD_STAND	STAND		m12	rep5	RP	pos
x012_BAL_STAND_m04_rep4_pos	x012_BAL_STAND	x012	1	sample	BAL_STAND	STAND		m04	rep4	RP	pos
x013_BAL_STAND_m06_rep3_pos	x013_BAL_STAND	x013	1	sample	BAL_STAND	STAND		m06	rep3	RP	pos
x014_NOD_OMEGA_m09_rep4_pos	x014_NOD_OMEGA	x014	1	sample	NOD_OMEGA	OMEGA		m09	rep4	RP	pos
x015_NOD_STAND_m12_rep4_pos	x015_NOD_STAND	x015	1	sample	NOD_STAND	STAND		m12	rep4	RP	pos
x016_BAL_STAND_m04_rep1_pos	x016_BAL_STAND	x016	1	sample	BAL_STAND	STAND		m04	rep1	RP	pos
x018_QC_06_pos	x018_QC_6	x018	1	QC	QC	6		QC	QC	RP	pos
x019_QC_07_pos	x019_QC_7	x019	1	QC	QC	7		QC	QC	RP	pos
x020_NOD_OMEGA_m09_rep1_pos	x020_NOD_OMEGA	x020	1	sample	NOD_OMEGA	OMEGA		m09	rep1	RP	pos
x021_NOD_STAND_m08_rep1_pos	x021_NOD_STAND	x021	1	sample	NOD_STAND	STAND		m08	rep1	RP	pos
x022_NOD_OMEGA_m07_rep2_pos	x022_NOD_OMEGA	x022	1	sample	NOD_OMEGA	OMEGA		m07	rep2	RP	pos
x023_NOD_OMEGA_m10_rep1_pos	x023_NOD_OMEGA	x023	1	sample	NOD_OMEGA	OMEGA		m10	rep1	RP	pos
x024_NOD_OMEGA_m02_rep5_pos	x024_NOD_OMEGA	x024	1	sample	NOD_OMEGA	OMEGA		m02	rep5	RP	pos
x025_BAL_STAND_m03_rep2_pos	x025_BAL_STAND	x025	1	sample	BAL_STAND	STAND		m03	rep2	RP	pos
x026_NOD_OMEGA_m04_rep3_pos	x026_NOD_OMEGA	x026	1	sample	NOD_OMEGA	OMEGA		m04	rep3	RP	pos
x028_QC_08_pos	x028_QC_8	x028	1	QC	QC	8		QC	QC	RP	pos
x029_QC_09_pos	x029_QC_9	x029	1	QC	QC	9		QC	QC	RP	pos
x030_NOD_STAND_m05_rep3_pos	x030_NOD_STAND	x030	1	sample	NOD_STAND	STAND		m05	rep3	RP	pos
x031_BAL_STAND_m02_rep2_pos	x031_BAL_STAND	x031	1	sample	BAL_STAND	STAND		m02	rep2	RP	pos
x032_NOD_STAND_m07_rep2_pos	x032_NOD_STAND	x032	1	sample	NOD_STAND	STAND		m07	rep2	RP	pos
x033_NOD_OMEGA_m10_rep3_pos	x033_NOD_OMEGA	x033	1	sample	NOD_OMEGA	OMEGA		m10	rep3	RP	pos
x034_NOD_OMEGA_m09_rep2_pos	x034_NOD_OMEGA	x034	1	sample	NOD_OMEGA	OMEGA		m09	rep2	RP	pos
x035_NOD_STAND_m08_rep4_pos	x035_NOD_STAND	x035	1	sample	NOD_STAND	STAND		m08	rep4	RP	pos
x036_BAL_STAND_m05_rep5_pos	x036_BAL_STAND	x036	1	sample	BAL_STAND	STAND		m05	rep5	RP	pos
x038_QC_10_pos_2	x038_QC_10	x038	1	QC	QC	10		QC	QC	RP	pos
x039_QC_11_pos	x039_QC_11	x039	1	QC	QC	11		QC	QC	RP	pos
x040_NOD_STAND_m01_rep5_pos	x040_NOD_STAND	x040	1	sample	NOD_STAND	STAND		m01	rep5	RP	pos
x041_BAL_STAND_m02_rep3_pos	x041_BAL_STAND	x041	1	sample	BAL_STAND	STAND		m02	rep3	RP	pos
