"","PC1","PC2","PC3"
"F506",-0.0265343214160292,0.0374469489705755,0.055347072327454
"F513",0.00251738626878065,-0.104222303860218,-0.064815990580774
"F576",-0.0691239669114031,0.0347224388983535,0.139172039907614
"F848",-0.0389922455287144,-0.00572143378840903,-0.0507928302009215
"F958",-0.00740352146950196,0.0534467337787703,-0.130276745649982
"F1016",0.0110400194290373,0.118778141039314,-0.0663980842335812
"F1279",0.0430656600932598,-0.0486825123646558,0.000525096563428112
"F1428",0.0315474621134849,-0.0797456247982581,0.0156873578775737
"F1520",-0.0631624379602799,0.0422292476536127,0.101098623393747
"F1523",0.0578971413801332,-0.0920073807101114,0.0654635055377911
"F1559",0.0393485567970673,0.045177897575824,-0.0145128231403861
"F1686",0.0048877853214201,0.106180470391323,-0.0501476384372804
"F1768",-0.0815396444788279,-0.0635334042306742,0.0702196580517708
"F1807",0.104937399310928,-0.0210996515394479,-0.019834152423549
"F1814",0.0413155208465485,-0.00948980072831182,-0.0106998699393756
"F1968",-0.0502807355371183,-0.0966066899642628,0.0657159734698229
"F2025",0.112295247473404,0.0567825637808028,0.0301218477415545
"F2125",0.0310357759372038,-0.0175354122886953,-0.0396397459422064
"F2126",0.0386155260448975,0.09339393300618,-0.0281335031319012
"F2137",-0.0348617544299496,0.0567227979039012,0.0786638922804478
"F2141",-0.0340414141290186,0.0505631706707261,0.104362702685909
"F2353",-0.00953547617635328,-0.0114320740133046,0.0135135002076157
"F2355",-0.0693230251297085,0.0587049775588606,0.0587861375142844
"F2362",0.0288783591060756,-0.065869593207365,-0.0178152962232648
"F2363",0.0481598360707072,0.0240546438004396,-0.0405523415330026
"F2372",0.0031398303702332,0.0111808453702886,0.144408553096772
"F2558",0.0421171909468387,0.0958981680999195,0.0836520325943304
"F2559",0.0438701046182882,0.0986688152509184,0.0770866763579601
"F2563",0.0571215441386025,0.0420600747609537,0.105143517866743
"F2567",0.0122605019493811,-0.01470029184477,-0.0581137377817751
"F2810",-0.0559460862674513,0.015848212354673,0.0139520354814366
"F2823",-0.0381840452342975,0.0251512299668187,0.0108379654470069
"F2827",-0.0351129705697641,-0.0748667542127647,0.072319904007013
"F2833",0.0467676478844448,-0.144564274606371,-0.034924355889922
"F2891",0.0258207151090631,-0.00999081245360289,-0.0147643074375433
"F2948",0.0155697096825527,-0.143795030336004,-0.0341037906512207
"F2949",0.0406634869899808,-0.136548408059035,-0.0197593312785142
"F2950",-0.0719343052566521,-0.0752525217305168,-0.0612905698094736
"F3023",0.0557990895365892,-0.127143665357569,-0.0313881715136362
"F3033",0.0511665668622972,-0.128018384803106,-0.0309336496141135
"F3081",0.0243802646037835,-0.142112658450117,0.00220033630324797
"F3198",-0.0486421707350896,0.0173490873466946,-0.00937441326849464
"F3251",0.0744943771784556,0.0355055487337018,-0.0109285876305842
"F3277",-0.0152978666117862,0.0088786145012428,0.00573572418998839
"F3298",0.0115562505930756,-0.0493487947320913,-0.0211121676813263
"F3362",-0.0567859358602773,0.0126535447215951,-0.11440295635544
"F3374",-0.0251417515554279,0.0911368973091652,-0.0841799348986155
"F3410",0.000409636192157609,-0.0960648227555196,-0.0301940914236517
"F3413",0.0279758353617728,-0.101844830966083,-0.0497552456941712
"F3648",-0.0190689417709685,0.0211260931524542,-0.0576866676411676
"F3789",-0.113435779951517,0.0228614173245751,-0.0303938034199094
"F3854",-0.0275503452027826,-0.0514131391834789,0.122347366130589
"F3863",-0.0642546995545361,0.0137116590965019,-0.108384294533325
"F3888",-0.0322169179894666,0.0192749600562004,-0.0764772925506999
"F3957",0.0472800427017312,-0.132563044016264,-0.0427796178168964
"F4004",-0.00653527655060787,-0.0831038912353452,-0.00444804562815069
"F4006",-0.0465354638022408,0.0241738099112876,-0.0629444704446936
"F4055",-0.0652176435908553,0.0329747665914043,-0.0675328304062729
"F4127",-0.0498154052693138,-0.00729928196755601,0.0712851868253104
"F4128",-0.0339132731336319,-0.0069097724317519,0.0732668172202377
"F4325",0.110871819073536,-0.0271611399216957,0.0259159899545059
"F4386",0.0816790138951129,-0.00973013994575264,-0.044347604516122
"F4393",0.0136839899364983,-0.0755914047491881,0.0304054662960044
"F4394",-0.0623302399554019,0.0317359265980083,-0.0572264724728981
"F4406",-0.107361626658943,-0.0427310444548392,-0.0276303725512409
"F4448",0.0841114388006914,5.45190615322752e-05,0.0425699660248096
"F4473",0.0335914511586755,-0.111642587232765,-0.0496209049791989
"F4600",-0.0216414781137217,-0.0244360744238523,0.00983436703683896
"F4671",-0.0769824749958564,0.00505237877836203,-0.119892821187922
"F4735",-0.0468051023227115,0.047452779823029,0.0205536324554712
"F4761",0.0566129066422831,-0.114453043617182,-0.0132344838066208
"F4949",-0.10726290878289,0.0125217650953942,0.0192872573160217
"F5006",0.00236347877829123,-0.0248294028341243,0.0142808948691376
"F5010",-0.0886520723002763,0.0333744730680341,0.0860452527872493
"F5057",-0.032930509394706,-0.013431667183521,-0.0406721936080592
"F5114",-0.070718861568839,0.056745654832812,0.0142072050122849
"F5129",0.0651517031558272,-0.0859625835272273,-0.028078032970765
"F5133",-0.058235539815358,-0.0968849725537018,-0.035132803164615
"F5135",-0.060591112437235,-0.0137748078691599,-0.00233857035466161
"F5188",-0.0416260113032205,0.0291617172354451,-0.0104332742633706
"F5257",-0.0377209041693696,-0.052428842141533,-0.0202341249997559
"F5259",-0.0342111905298935,-0.0529002957787278,-0.0190137524595812
"F5330",0.00823131620300213,0.0703717537722609,-0.0879350192127789
"F5334",-0.0401196801092551,0.0914557627214231,-0.0874794995865536
"F5394",-0.0890034818632346,-0.00815759164017369,0.00528084702077018
"F5395",-0.0894121744616117,-0.00839733901919136,0.00520750507613395
"F5450",0.126735875417337,0.00656112258237685,0.0144448304393151
"F5472",-0.0402327050123043,-0.0239417652051576,-0.073516469644819
"F5474",-0.016768654140156,-0.047740225113394,-0.059583196136062
"F5716",0.0819119478018222,0.0277042495264248,0.104299239105483
"F5761",0.000762120438386378,-0.0260955661123206,-0.0206630460387051
"F5765",-0.030708455079243,-0.0331124396774398,0.0567662950980721
"F5850",0.0485852792625435,-0.0751886351830221,-0.0224289865346543
"F5876",-0.0750835201628073,0.0440872768509747,-0.0349565334453881
"F5915",0.0187090266248292,0.0212788568604026,0.00204065451324045
"F5974",0.030658106075254,0.0341485731525176,-0.0322134228532478
"F6131",0.0568536146190331,-0.0776313378695054,-0.0429534919827982
"F6133",0.0537000437624605,-0.0782058985763618,-0.0535960805682521
"F6163",0.0240596492510675,-0.107239039504855,0.0671043854370979
"F6243",0.0394211100850609,0.0052190532529698,0.0183504354761009
"F6299",-0.0197374851078735,0.0559827825866181,-0.00884969651739954
"F6300",-0.0173837947147365,0.0470230475365297,-0.0148116037678368
"F6378",-0.0263805361176516,0.0232697388634553,-0.0141802983509659
"F6518",-0.101178080084998,0.0344324427353927,0.0600655102956223
"F6852",0.0766127670297248,-0.122047473013331,-0.0398355000318776
"F6936",0.0276220489518373,0.0037992192577251,-0.0468324661059567
"F7036",0.0555599455608185,0.0739673559246979,-0.00377163631377689
"F7048",-0.136534547782844,-0.0305831583023815,0.0516965042601522
"F7049",-0.0446614616038235,0.0059586974977872,-0.0395559352232253
"F7100",-0.0170309344708521,-0.019907981050713,0.0165888097188563
"F7103",-0.100756267871384,0.00231972757676156,-0.00229990222303676
"F7110",-0.087158920782088,-0.0656310736798154,-0.043909403173778
"F7253",0.0049762869728095,0.0181740393321664,0.0197813368348668
"F7319",-0.0162003424889796,-0.0383528233915511,-0.0946831105830313
"F7323",-0.0199261833013519,-0.0863849376680931,-0.0275503413806861
"F7325",0.0728221789699604,0.0224726152614623,0.068934163272053
"F7331",-0.00677539222088714,0.0852249778930744,-0.0654302871952471
"F7471",-0.0556881807424645,0.00957243870418371,-0.0174470582562837
"F7534",0.0305363907373061,0.0569981652437868,0.0518774143235872
"F7558",-0.0559181056770028,0.00120587168415253,0.0565130988436428
"F7632",-0.0439986594343758,0.0319314016836501,-0.0220575676394919
"F7786",0.0587964745932947,0.0159674976017556,-0.00178822429642824
"F8014",0.0182960923318326,0.0655394450437483,-0.0930153188489585
"F8037",-0.0767464043368734,-0.0237369149717023,-0.0254536803437288
"F8074",0.0451676717349662,-0.0454784433300174,0.0380060418272438
"F8271",-0.0803366308810527,0.0389054236862359,0.0397291401579078
"F8312",0.109549290416732,-0.0518317313146371,-0.0103224843394899
"F8341",-0.0636811097288106,0.0454015417656653,0.00678474714269417
"F8342",-0.118969374508048,0.0266413743727212,-0.0494941280395191
"F8343",-0.065383286097967,-0.0536983407210986,-0.0721640858486536
"F9026",-0.107528633474825,-0.0153346404157627,-0.0293426606820567
"F9056",-0.0102075778279259,0.0381114292106,-0.0445412751206258
"F9130",-0.0283853918753562,-0.0174190142441197,-0.0117440307282275
"F9221",-0.141000088402214,0.0207884095128611,0.0149648263852006
"F9288",0.030824102713623,-0.0969637599797473,-0.0237869197403156
"F9326",0.111823850528192,0.0327481492059768,0.00347265973728693
"F9424",0.0551396416135809,-0.0884262169147857,-0.0284371061940573
"F9506",-0.0706358335011534,0.0749802288045445,-0.0418895575247657
"F9507",-6.99982216416016e-05,0.0641368723990447,-0.106712093531852
"F9881",0.0528025238433233,-0.0380199060027557,-0.0209930566522397
"F9953",0.0429875062437761,-0.0893365140723714,-0.0403270922392445
"F10143",-0.0266276585440186,-0.0577118820217511,-0.0118798314693602
"F10165",-0.0750345167037157,-0.0228379635370689,-0.0616723747658535
"F10166",-0.0572357411588434,-0.00373966243297053,-0.0704332741207615
"F10248",0.0798025639993757,-0.123727887790984,0.0174385280500092
"F10250",0.0226659172703827,-0.0872184541738801,0.0648119289566264
"F10882",-0.0232110649298282,0.0763487836965138,-0.0119623096537506
"F10948",0.010532253727514,-0.0406944803542242,-0.00965014816558442
"F11122",0.0340563343082981,-0.0390146015198947,0.00927055696936559
"F11404",-0.0745742374865542,0.0110447047031912,0.128715022728341
"F11470",0.00102676043280186,0.0215818184370061,0.0957026019316749
"F11584",-0.0848383475995596,-0.0217482768599584,0.0581786503012962
"F11706",0.00656998521782955,0.0482934826359641,0.0576603000191735
"F11781",0.0291845438417313,-0.0514526445409685,-0.013395252188678
"F11889",-0.0307700746044791,0.0739052511474485,-0.0617150372814428
"F12150",0.0153587635636695,-0.000617454093705377,-0.00497867510214334
"F12484",0.0145387236656682,-0.0179258997827623,-0.0113999653267234
"F12680",-0.100164492979824,-0.0866758349110014,-0.000829493347671065
