"","PC1","PC2","PC3"
"F1",-0.00161738038726467,-0.00199743856857955,-0.00353589832220449
"F6",-0.00578523501084213,7.45237958050348e-05,0.00133552392059783
"F7",0.000608670241453746,0.010832531303048,0.00917269048791651
"F22",-0.000861854420640485,0.00487238948199552,0.0098615406526083
"F38",-0.00470842174106404,0.000208271404648528,0.00472444747942174
"F60",-0.00796136928912716,0.00129405982223333,-0.00715087167251773
"F64",0.00284658425306443,-0.00448864214224011,-0.00281612653848302
"F128",0.00359698086325868,0.0120707893779043,-0.00173397518948572
"F129",-0.00148692830822785,0.0133398775004695,-0.000697386898939827
"F130",-0.000788435522017656,0.0152386411570687,-0.00270752890918179
"F131",0.000443570611034548,-0.000956708864601588,-0.00535391186086371
"F132",-0.00157065073597072,0.0149341575477028,-0.00250745251477557
"F133",0.00321485459135283,0.0143616965400386,-0.00185924732488521
"F143",-0.00329729248856839,-0.00221500047239206,-0.00049654812754358
"F150",-0.00372527086273442,-0.00312314716543322,0.00163512365297488
"F151",-0.000808484552959107,0.00842853149339258,0.00135532883102563
"F189",-0.000335853861006973,-0.000461892960881938,-0.00456689992893019
"F267",0.000416393011400432,-0.000631148237190096,-0.0054059308265474
"F272",0.000263580314046915,-0.000765322331876635,-0.00555126580828586
"F274",-0.00711771814953898,-0.00421222871687675,0.00122105053735807
"F278",0.000117232093752425,-0.000525050905720113,-0.00517054019507245
"F281",-0.00212185255677477,-0.0012375621083275,0.00218734626154181
"F288",0.00155958051663078,-0.00613989062470563,0.00922758989776837
"F291",-0.0109735048057649,-0.000743422485271983,-0.00792567018438687
"F295",-0.00367526232704034,-0.00467832549025169,0.0012503054326259
"F309",-0.00298679604421625,0.00976688993162522,-0.00348012997857106
"F313",0.000609543556196869,-0.00568949286664041,-0.0100623615300507
"F314",-0.00435644558413369,0.0031103505558276,0.00583056742878437
"F338",-0.00521199123617649,-0.00400591756074733,-0.00746549276149294
"F339",-0.00136783419205494,0.00474137419769501,-0.000617547955593459
"F340",-0.00525066838694689,0.00224443839525595,-0.000870294649854132
"F367",-0.00765088397704669,0.00300293216245373,-0.00580433719559086
"F369",-0.00603078507058013,0.00712382106211246,-0.00538146250491206
"F374",0.00380419696563287,0.0139535564979289,0.0115951997341321
"F375",-0.00510655974583369,0.006456995957259,-0.00336900602229242
"F376",-0.00874557787646123,-0.00280088130560752,0.0032421104278703
"F377",-0.00879296036651067,-0.00371398714514133,0.00432786806266551
"F389",-0.00350840895064066,-0.00118636866025212,-0.00340188125658387
"F390",-0.00456112820736442,-0.00166382058423159,-0.00230894516312709
"F412",-0.000735265242008397,-0.00206569598618908,-0.00712872367182803
"F413",0.00192664100213796,0.00264774658332857,-0.0131449446683797
"F420",0.00119751964320416,0.00281234923649265,-0.00365478407763885
"F422",-0.00117726407581947,-0.00815832509784623,-0.00236270263754125
"F424",-0.00215001846185661,-0.00066493626876995,-0.00120127918389693
"F425",-0.00357331116260908,-0.00890842024827721,-0.00172306652552908
"F426",-0.00101920863601705,0.00222519069296026,6.44291601472115e-05
"F427",-0.00039323240632738,-0.00459580814917775,0.00276875314476749
"F438",0.000235958734932832,-0.00341607161377526,-0.00149943833560885
"F439",-0.007361884342281,-0.000155405816306081,-0.00287389590195438
"F440",-0.00304278028837093,0.00262471778039032,-0.00743050552825266
"F441",0.00427640316929484,-0.00479066292775522,-0.00618639156662696
"F442",0.00280539923523277,-0.00323932385303747,-0.00613142748092609
"F443",0.00959994342369672,4.50794025340164e-05,-0.00537182285516597
"F444",0.0042888115850706,0.0021561297818265,-0.00693154428595039
"F445",0.00018851218163638,0.00431253330808996,0.00356064885864986
"F446",0.00337476355788772,-0.000895083229089713,-0.00627611012137613
"F447",0.000496436128086296,-0.00213812326910852,-0.00432180299072522
"F448",-0.000521593598915462,-0.00395510023256206,-0.00550989297183164
"F449",0.00590246234636908,0.000555114299121698,-0.00781353243018062
"F450",-1.79224898300026e-05,0.00345757960902853,-0.00993352610213729
"F465",-0.00621314069936992,-0.00102922801273164,0.000115832129438784
"F472",-0.00550724951258543,0.00420362559868579,-0.0026578044263079
"F480",-0.00241631971292452,-0.0015021776393941,0.00300184623829396
"F500",0.000454997176080111,0.0127123595700137,0.00260210439490337
"F501",0.0034133126820527,0.0116010302843888,0.00229435042226191
"F502",0.00298857256431745,-0.00915782303611126,-0.00529708879986396
"F503",-0.00376564334841982,-0.000504469007161155,-0.0031980664255866
"F504",0.00382136264865093,-0.0077435678696661,-0.00755581720970156
"F506",0.000943131346532161,-0.0053137030413485,-0.00651407799172619
"F509",0.00332027144112555,-0.00204729548208222,-0.00396381502025743
"F510",-0.00148810274534001,-0.00256474976612443,-0.00188873126074058
"F511",-0.000303994787337578,0.0130463312588154,0.00188799028412865
"F512",0.00213887083215899,0.0103192332068187,-0.00328665532153214
"F513",0.00361704581800549,0.0127931955166491,0.00194327209748996
"F515",-0.000861945705471275,0.0134800559038197,0.00271172371950874
"F516",0.00259911204033631,0.00931641493493871,-0.00232195246636875
"F529",0.00551160289434973,0.00450304243966135,-0.00683273821901755
"F530",-0.00169439506870623,0.00217579095151318,-0.0145998703875327
"F531",0.00478952464815111,-0.00667726234067971,-0.00802756578461943
"F532",-0.00333759425605219,-0.00340650679992218,-0.00491093234280145
"F533",-0.000799067178055707,0.00927779097361352,0.00166254577828926
"F535",0.00378312577240901,0.00349183694184857,-0.0109838680878453
"F545",-0.00772893059007559,-0.00617244068578154,-0.00773784944687637
"F549",0.00232310010288593,-0.00643473133132904,-0.00863912524348738
"F550",-0.00362568820007155,-0.00482993380194624,0.000162632636419785
"F551",-0.00469303618927726,-0.00989505229127366,0.000538141231453533
"F556",-0.00532971157205371,0.00371242500831935,-0.0107735757638505
"F558",-0.00452361597074421,-0.0134330803320879,-0.00462579101677841
"F559",0.00185823934276001,0.00599762595371081,-0.00846196647176555
"F560",-0.00123571186390974,-0.0106421069603327,-0.00236473595193178
"F561",-0.0028698750756623,-0.0127744292678898,-0.00716702155129359
"F562",3.97945862308418e-05,0.00410818034291732,-0.0077152763118566
"F564",-0.00583948454975397,4.81662656342337e-05,0.00443919594951676
"F566",-0.00534688547226831,0.000222961732707553,0.00433149865624131
"F571",0.00432596292885116,-0.000839107201565258,0.000275461444637546
"F572",-0.000277780089139925,-0.00265366018673281,-0.00403259812341039
"F576",0.00368067139790086,-0.00839906435244248,-0.00780707332747188
"F578",-0.00202003676477721,0.00657036110490615,0.00694117652638036
"F579",0.00203101901817827,-0.00827664548200391,-0.00105171783860392
"F581",0.00192404560163468,-0.00854632537848807,-0.00109059228103771
"F582",-0.00282304435614738,-0.00144207467154799,-0.00264355863765374
"F612",4.01606697708527e-05,-0.00896380957768807,-0.000862907193795045
"F613",0.00165577444640262,-0.00735234784365444,-0.00425055847301358
"F641",-0.00491960719783528,-0.00118298461249011,-0.00337410859888481
"F648",-0.000633191102082874,-0.00561498498966267,-0.00720513596495958
"F655",-0.0013205820410081,0.000338124711475888,-0.00373445740811528
"F656",0.00160488746168935,0.00892489852875478,-0.00903418645351916
"F657",-0.00283972709600504,0.00122583561683509,-0.00498243108685541
"F658",0.00283814440961921,-0.00314150740830637,-0.00663743041227345
"F659",0.00184577008987369,-0.00211492528787522,-0.00524413556762036
"F662",0.00137684113067999,0.0187424390161562,0.000195687607382355
"F673",-0.00740607293903502,0.000980877038958489,-0.00315409093493235
"F702",0.0052226487205504,-0.000693409238266131,-0.0117164926268241
"F703",-0.00124826172034517,0.00590327892198816,-0.00929457315127772
"F704",-0.000171725163579586,0.00501687119926518,-0.0111544278091841
"F705",0.00615909670290557,0.00622599368014495,-0.000534722008874258
"F707",-0.0072804335993093,0.000971295326303366,-0.00391942525390582
"F708",0.0036044954156476,0.00738277517566536,0.00204792155739352
"F709",-0.00146095215519033,0.0051860697992668,-0.00865898897141906
"F710",-0.00431335515141036,0.00216367703829047,-0.00282444237029848
"F711",0.00440757739741669,0.00421853673794849,-0.00506076077203364
"F713",-0.00491616932080382,-0.000795549398744996,0.00941430219822824
"F716",-0.00484804787844304,-0.000461627255742472,0.00638509140564916
"F717",-0.00134421252964087,0.00294488828948662,0.000480710297838664
"F718",-0.000216681920760323,-0.00174975843493184,0.0003258726397656
"F720",-0.000607269420092286,0.00125300242744548,-0.00229155327472909
"F729",0.000236577565861195,0.00525410415767022,0.00604748558279221
"F730",-0.00257435526807441,0.0018715755641462,0.00215334586845661
"F732",0.00121624926814359,-0.00787234655993061,0.00248454072244946
"F734",0.00339455637485453,0.00194835077246591,-0.0109626708370283
"F735",0.0079304652570623,0.00079889947823367,-0.00677253642138168
"F736",-0.00374309802526378,-0.00511372461535935,-0.00337071462843502
"F737",-6.75523846918915e-05,0.00750839449154384,0.0076380072233932
"F738",4.40740353201979e-05,-0.000478748121881727,-0.00546588189426133
"F739",-0.00116508985528912,-0.00455850033685522,-0.00222717740846295
"F740",0.00414911352036541,-6.09658096271331e-05,0.000603783862861582
"F741",-0.000178923594346245,0.00406371892304977,-0.00298050718692687
"F742",-0.000165999497121564,0.000844088015706546,-0.0082227106147562
"F743",0.00972279095835808,9.02771020847217e-05,-0.00617179767733721
"F744",0.00712862725896766,-0.000469107390952873,-0.000934154339053601
"F745",-0.00226114548894724,-0.00122588121405765,-0.00861742160244415
